date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:35:35	24/24	---M--	200	added ('OK')	text/plain	etag:%225ec2b23b-18%22	https://jackmcdade.com/robots.txt		(from )
23:35:36	139029/139029	---MCZ	200	added ('OK')	text/html	date:Thu,%2019%20Dec%202024%2018:05:36%20GMT	https://jackmcdade.com/	C:/My%20Web%20Sites/Portfolio/jackmcdade.com/index.html	(from )
23:35:36	36385/36385	---MCZ	200	added ('OK')	text/css	etag:W/%2266e7211a-8e21%22	https://jackmcdade.com/build/assets/site-826739c2.css	C:/My%20Web%20Sites/Portfolio/jackmcdade.com/build/assets/site-826739c2.css	(from https://jackmcdade.com/)
23:35:37	1/1	---M--	200	added ('OK')	application/javascript	etag:%2265c53ba9-1%22	https://jackmcdade.com/build/assets/site-4ed993c7.js	C:/My%20Web%20Sites/Portfolio/jackmcdade.com/build/assets/site-4ed993c7.js	(from https://jackmcdade.com/)
23:35:49	4101/4101	---M-Z	200	added ('OK')	text/css	date:Thu,%2019%20Dec%202024%2018:05:50%20GMT	https://use.typekit.net/vja6aok.css	C:/My%20Web%20Sites/Portfolio/use.typekit.net/vja6aok.css	(from https://jackmcdade.com/)
23:35:50	113788/113788	---MCZ	200	added ('OK')	application/rss+xml	date:Thu,%2019%20Dec%202024%2018:05:51%20GMT	https://jackmcdade.com/articles/rss.xml	C:/My%20Web%20Sites/Portfolio/jackmcdade.com/articles/rss.xml	(from https://jackmcdade.com/)
23:35:51	26987/26987	---MCZ	200	added ('OK')	application/javascript	etag:W/%22696b-A4xZE4yqj5v55fcBdzwGjb0Th4k%22	https://cdn.jsdelivr.net/gh/alpinejs/alpine@v2.x.x/dist/alpine.min.js	C:/My%20Web%20Sites/Portfolio/cdn.jsdelivr.net/gh/alpinejs/alpine@v2.x.x/dist/alpine.min.js	(from https://jackmcdade.com/)
23:35:52	129373/129373	---MCZ	200	added ('OK')	text/html	date:Thu,%2019%20Dec%202024%2018:05:53%20GMT	https://jackmcdade.com/interviews	C:/My%20Web%20Sites/Portfolio/jackmcdade.com/interviews.html	(from https://jackmcdade.com/)
23:35:54	126313/126313	---MCZ	200	added ('OK')	text/html	date:Thu,%2019%20Dec%202024%2018:05:55%20GMT	https://jackmcdade.com/articles	C:/My%20Web%20Sites/Portfolio/jackmcdade.com/articles.html	(from https://jackmcdade.com/)
23:35:55	155902/155902	---MCZ	200	added ('OK')	text/html	date:Thu,%2019%20Dec%202024%2018:05:56%20GMT	https://jackmcdade.com/design	C:/My%20Web%20Sites/Portfolio/jackmcdade.com/design.html	(from https://jackmcdade.com/)
23:35:56	121489/121489	---MCZ	200	added ('OK')	text/html	date:Thu,%2019%20Dec%202024%2018:05:57%20GMT	https://jackmcdade.com/connect	C:/My%20Web%20Sites/Portfolio/jackmcdade.com/connect.html	(from https://jackmcdade.com/)
23:35:57	268159/268159	---M--	200	added ('OK')	image/jpeg	etag:%225ec2b23a-4177f%22	https://jackmcdade.com/img/jack-on-blue.jpg	C:/My%20Web%20Sites/Portfolio/jackmcdade.com/img/jack-on-blue.jpg	(from https://jackmcdade.com/)
23:36:00	129842/129842	---MCZ	200	added ('OK')	text/html	date:Thu,%2019%20Dec%202024%2018:06:00%20GMT	https://jackmcdade.com/dennys	C:/My%20Web%20Sites/Portfolio/jackmcdade.com/dennys.html	(from https://jackmcdade.com/)
23:36:01	134553/134553	---MCZ	200	added ('OK')	text/html	date:Thu,%2019%20Dec%202024%2018:06:01%20GMT	https://jackmcdade.com/chee-chee-chee-chee-chah	C:/My%20Web%20Sites/Portfolio/jackmcdade.com/chee-chee-chee-chee-chah.html	(from https://jackmcdade.com/)
23:36:02	1616455/1616455	---M--	200	added ('OK')	image/png	etag:%225ec2b23a-18aa47%22	https://jackmcdade.com/img/jungle-scene.png	C:/My%20Web%20Sites/Portfolio/jackmcdade.com/img/jungle-scene.png	(from https://jackmcdade.com/)
23:36:02	129209/129209	---MCZ	200	added ('OK')	text/html	date:Thu,%2019%20Dec%202024%2018:06:02%20GMT	https://jackmcdade.com/coffee-replacement	C:/My%20Web%20Sites/Portfolio/jackmcdade.com/coffee-replacement.html	(from https://jackmcdade.com/)
23:36:04	400001/400001	---M--	200	added ('OK')	image/jpeg	etag:%225ec2dbb9-61a81%22	https://jackmcdade.com/img/my-family.jpg	C:/My%20Web%20Sites/Portfolio/jackmcdade.com/img/my-family.jpg	(from https://jackmcdade.com/)
23:36:04	193064/193064	---M--	200	added ('OK')	image/jpeg	etag:%225f4e4cb0-2f228%22	https://jackmcdade.com/img/ted-lasso.jpg	C:/My%20Web%20Sites/Portfolio/jackmcdade.com/img/ted-lasso.jpg	(from https://jackmcdade.com/)
23:36:04	219589/219589	---M--	200	added ('OK')	image/jpeg	etag:%225ec2dcd9-359c5%22	https://jackmcdade.com/img/cool-runnings.jpg	C:/My%20Web%20Sites/Portfolio/jackmcdade.com/img/cool-runnings.jpg	(from https://jackmcdade.com/)
23:36:06	7739/7739	---M--	200	added ('OK')	audio/mpeg	etag:%225ec2b23a-1e3b%22	https://jackmcdade.com/audio/pop.mp3	C:/My%20Web%20Sites/Portfolio/jackmcdade.com/audio/pop.mp3	(from https://jackmcdade.com/)
23:36:06	7845/7845	---M--	200	added ('OK')	audio/mpeg	etag:%225ec2b23a-1ea5%22	https://jackmcdade.com/audio/pop2.mp3	C:/My%20Web%20Sites/Portfolio/jackmcdade.com/audio/pop2.mp3	(from https://jackmcdade.com/)
23:36:07	7739/7739	---M--	200	added ('OK')	audio/mpeg	etag:%225ec2b23a-1e3b%22	https://jackmcdade.com/audio/pop3.mp3	C:/My%20Web%20Sites/Portfolio/jackmcdade.com/audio/pop3.mp3	(from https://jackmcdade.com/)
23:36:07	8469/8469	---M--	200	added ('OK')	audio/mpeg	etag:%225ec2b23a-2115%22	https://jackmcdade.com/audio/pop4.mp3	C:/My%20Web%20Sites/Portfolio/jackmcdade.com/audio/pop4.mp3	(from https://jackmcdade.com/)
23:36:08	7739/7739	---M--	200	added ('OK')	audio/mpeg	etag:%225ec2b23a-1e3b%22	https://jackmcdade.com/audio/pop5.mp3	C:/My%20Web%20Sites/Portfolio/jackmcdade.com/audio/pop5.mp3	(from https://jackmcdade.com/)
23:36:08	11074/11074	---M--	200	added ('OK')	audio/mpeg	etag:%225ec2b23a-2b42%22	https://jackmcdade.com/audio/ouch1.mp3	C:/My%20Web%20Sites/Portfolio/jackmcdade.com/audio/ouch1.mp3	(from https://jackmcdade.com/)
23:36:09	14044/14044	---M--	200	added ('OK')	audio/mpeg	etag:%225ec2b23a-36dc%22	https://jackmcdade.com/audio/ouch2.mp3	C:/My%20Web%20Sites/Portfolio/jackmcdade.com/audio/ouch2.mp3	(from https://jackmcdade.com/)
23:36:09	13264/13264	---M--	200	added ('OK')	audio/mpeg	etag:%225ec2b23a-33d0%22	https://jackmcdade.com/audio/ouch3.mp3	C:/My%20Web%20Sites/Portfolio/jackmcdade.com/audio/ouch3.mp3	(from https://jackmcdade.com/)
23:36:10	12016/12016	---M--	200	added ('OK')	audio/mpeg	etag:%225ec2b23a-2ef0%22	https://jackmcdade.com/audio/ouch4.mp3	C:/My%20Web%20Sites/Portfolio/jackmcdade.com/audio/ouch4.mp3	(from https://jackmcdade.com/)
23:36:10	16860/16860	---M--	200	added ('OK')	audio/mpeg	etag:%225ec2b23a-41dc%22	https://jackmcdade.com/audio/ouch5.mp3	C:/My%20Web%20Sites/Portfolio/jackmcdade.com/audio/ouch5.mp3	(from https://jackmcdade.com/)
23:36:11	12531/12531	---M--	200	added ('OK')	audio/mpeg	etag:%225ec2b23a-30f3%22	https://jackmcdade.com/audio/ouch6.mp3	C:/My%20Web%20Sites/Portfolio/jackmcdade.com/audio/ouch6.mp3	(from https://jackmcdade.com/)
23:36:11	12423/12423	---M--	200	added ('OK')	audio/mpeg	etag:%225ec2b23a-3087%22	https://jackmcdade.com/audio/ouch7.mp3	C:/My%20Web%20Sites/Portfolio/jackmcdade.com/audio/ouch7.mp3	(from https://jackmcdade.com/)
23:36:13	6033/6033	---MCZ	200	added ('OK')	application/javascript	etag:%22d41d8cd98f00b204e9800998ecf8427e%22	https://cdn.usefathom.com/script.js	C:/My%20Web%20Sites/Portfolio/cdn.usefathom.com/script.js	(from https://jackmcdade.com/)
23:36:13	216/216	---M--	200	added ('OK')	image/png	etag:%2265c543c8-d8%22	https://jackmcdade.com/build/assets/teal-grid-3a32f60d.png	C:/My%20Web%20Sites/Portfolio/jackmcdade.com/build/assets/teal-grid-3a32f60d.png	(from https://jackmcdade.com/build/assets/site-826739c2.css)
23:36:14	140855/140855	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2265c543c8-22637%22	https://jackmcdade.com/build/assets/frame-4c5539cd.svg	C:/My%20Web%20Sites/Portfolio/jackmcdade.com/build/assets/frame-4c5539cd.svg	(from https://jackmcdade.com/build/assets/site-826739c2.css)
23:36:15	202163/202163	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2265c543c8-315b3%22	https://jackmcdade.com/build/assets/footer-blob-defd408b.svg	C:/My%20Web%20Sites/Portfolio/jackmcdade.com/build/assets/footer-blob-defd408b.svg	(from https://jackmcdade.com/build/assets/site-826739c2.css)
23:36:15	5/5	---M--	200	added ('OK')	text/css	etag:%2267432225-5%22	https://p.typekit.net/p.css?s=1&k=vja6aok&ht=tk&f=28164.42222.42223.42226.42227&a=310438&app=typekit&e=css	C:/My%20Web%20Sites/Portfolio/p.typekit.net/pb6ea.css	(from https://use.typekit.net/vja6aok.css)
23:36:17	23444/23444	---M--	200	added ('OK')	application/font-woff2	etag:%22eb01541cd9566334e7541e1b6e3b6ab45dee7e05%22	https://use.typekit.net/af/12856b/00000000000000003b9ada86/27/l?primer=7cdcb44be4a7db8877ffa5c0007b8dd865b3bbc383831fe2ea177f62257a9191&fvd=n4&v=3	C:/My%20Web%20Sites/Portfolio/use.typekit.net/af/12856b/00000000000000003b9ada86/27/le196	(from https://use.typekit.net/vja6aok.css)
23:36:18	23624/23624	---M--	200	added ('OK')	application/font-woff	etag:%22eb01541cd9566334e7541e1b6e3b6ab45dee7e05%22	https://use.typekit.net/af/12856b/00000000000000003b9ada86/27/d?primer=7cdcb44be4a7db8877ffa5c0007b8dd865b3bbc383831fe2ea177f62257a9191&fvd=n4&v=3	C:/My%20Web%20Sites/Portfolio/use.typekit.net/af/12856b/00000000000000003b9ada86/27/de196	(from https://use.typekit.net/vja6aok.css)
23:36:19	30756/30756	---M-Z	200	added ('OK')	font/opentype	etag:W/%22eb01541cd9566334e7541e1b6e3b6ab45dee7e05%22	https://use.typekit.net/af/12856b/00000000000000003b9ada86/27/a?primer=7cdcb44be4a7db8877ffa5c0007b8dd865b3bbc383831fe2ea177f62257a9191&fvd=n4&v=3	C:/My%20Web%20Sites/Portfolio/use.typekit.net/af/12856b/00000000000000003b9ada86/27/ae196	(from https://use.typekit.net/vja6aok.css)
23:36:20	16336/16336	---M--	200	added ('OK')	application/font-woff2	etag:%227d70df75b1f3eabe702bb2bb7a52ca8a3c02dcc9%22	https://use.typekit.net/af/8da21b/00000000000000003b9b3266/27/l?primer=7cdcb44be4a7db8877ffa5c0007b8dd865b3bbc383831fe2ea177f62257a9191&fvd=n4&v=3	C:/My%20Web%20Sites/Portfolio/use.typekit.net/af/8da21b/00000000000000003b9b3266/27/le196	(from https://use.typekit.net/vja6aok.css)
23:36:21	17272/17272	---M--	200	added ('OK')	application/font-woff	etag:%227d70df75b1f3eabe702bb2bb7a52ca8a3c02dcc9%22	https://use.typekit.net/af/8da21b/00000000000000003b9b3266/27/d?primer=7cdcb44be4a7db8877ffa5c0007b8dd865b3bbc383831fe2ea177f62257a9191&fvd=n4&v=3	C:/My%20Web%20Sites/Portfolio/use.typekit.net/af/8da21b/00000000000000003b9b3266/27/de196	(from https://use.typekit.net/vja6aok.css)
23:36:21	30896/30896	---M-Z	200	added ('OK')	font/opentype	etag:W/%227d70df75b1f3eabe702bb2bb7a52ca8a3c02dcc9%22	https://use.typekit.net/af/8da21b/00000000000000003b9b3266/27/a?primer=7cdcb44be4a7db8877ffa5c0007b8dd865b3bbc383831fe2ea177f62257a9191&fvd=n4&v=3	C:/My%20Web%20Sites/Portfolio/use.typekit.net/af/8da21b/00000000000000003b9b3266/27/ae196	(from https://use.typekit.net/vja6aok.css)
23:36:22	17448/17448	---M--	200	added ('OK')	application/font-woff2	etag:%2292de581e7e04a0aa5d30f23ea371029d1782d651%22	https://use.typekit.net/af/3875c6/00000000000000003b9b3267/27/l?primer=7cdcb44be4a7db8877ffa5c0007b8dd865b3bbc383831fe2ea177f62257a9191&fvd=i4&v=3	C:/My%20Web%20Sites/Portfolio/use.typekit.net/af/3875c6/00000000000000003b9b3267/27/lfdcc	(from https://use.typekit.net/vja6aok.css)
23:36:22	18440/18440	---M--	200	added ('OK')	application/font-woff	etag:%2292de581e7e04a0aa5d30f23ea371029d1782d651%22	https://use.typekit.net/af/3875c6/00000000000000003b9b3267/27/d?primer=7cdcb44be4a7db8877ffa5c0007b8dd865b3bbc383831fe2ea177f62257a9191&fvd=i4&v=3	C:/My%20Web%20Sites/Portfolio/use.typekit.net/af/3875c6/00000000000000003b9b3267/27/dfdcc	(from https://use.typekit.net/vja6aok.css)
23:36:23	16660/16660	---M--	200	added ('OK')	application/font-woff2	etag:%22ecd2593ece3a0d8e19e435f4219da9c8c0e07e44%22	https://use.typekit.net/af/f2ebca/00000000000000003b9b326a/27/l?primer=7cdcb44be4a7db8877ffa5c0007b8dd865b3bbc383831fe2ea177f62257a9191&fvd=n7&v=3	C:/My%20Web%20Sites/Portfolio/use.typekit.net/af/f2ebca/00000000000000003b9b326a/27/l652f	(from https://use.typekit.net/vja6aok.css)
